"","stars","review_count","nu_indian_user","authentic"
"1",4,497,3,"A"
"2",3.5,280,4,"O"
"3",4,19,0,"A"
"4",4,138,0,"A"
"5",3.5,66,0,"A"
"6",4,224,0,"A"
"7",4,21,0,"A"
"8",3.5,198,0,"A"
"9",4,54,0,"A"
"10",4,190,3,"A"
"11",3.5,68,0,"A"
"12",3,56,0,"A"
"13",4,30,0,"A"
"14",3.5,224,3,"A"
"15",3.5,304,0,"A"
"16",4,144,0,"A"
"17",4.5,175,0,"A"
"18",3.5,12,0,"A"
"19",3,23,2,"A"
"20",4.5,333,1,"A"
"21",3.5,364,0,"A"
"22",3.5,98,0,"O"
"23",4,230,0,"A"
"24",4,55,0,"A"
"25",4,141,0,"A"
"26",3,10,0,"A"
"27",3.5,35,0,"A"
"28",4.5,1421,0,"A"
"29",3.5,3,0,"A"
"30",4,305,3,"A"
"31",4,166,0,"O"
"32",3,25,0,"A"
"33",3.5,20,0,"A"
"34",4.5,69,0,"O"
"35",3,12,0,"A"
"36",4,234,0,"A"
"37",3.5,29,0,"A"
"38",3.5,10,0,"A"
"39",4,681,1,"A"
"40",4,480,0,"A"
"41",3.5,105,0,"A"
"42",5,6,0,"A"
"43",3.5,35,0,"A"
"44",3.5,23,0,"A"
"45",3.5,113,0,"O"
"46",3.5,85,0,"O"
"47",4,99,0,"A"
"48",3,44,0,"A"
"49",3.5,103,3,"A"
"50",3.5,59,0,"A"
"51",3,63,0,"A"
"52",4.5,5,0,"A"
"53",3.5,250,0,"A"
"54",4,139,0,"A"
"55",4,188,0,"A"
"56",4,164,2,"A"
"57",3.5,99,0,"O"
"58",4.5,5,0,"A"
"59",4,112,0,"A"
"60",4,69,0,"A"
"61",3,145,0,"A"
"62",4,326,0,"O"
"63",4.5,246,0,"A"
"64",4,107,1,"A"
"65",3.5,29,0,"A"
"66",3.5,382,0,"A"
"67",4.5,21,0,"A"
"68",3.5,44,2,"A"
"69",3.5,84,0,"A"
"70",3.5,101,0,"A"
"71",3.5,69,2,"A"
"72",4.5,65,0,"A"
"73",4,281,0,"A"
"74",3.5,106,0,"O"
"75",4,32,0,"A"
"76",3,50,1,"A"
"77",4,35,0,"A"
"78",4,80,0,"A"
"79",4,308,0,"A"
"80",4,225,0,"A"
"81",3.5,85,0,"A"
"82",3.5,53,0,"O"
"83",4.5,13,0,"A"
"84",4,327,0,"O"
"85",3,98,0,"A"
"86",4,337,3,"A"
"87",4.5,500,0,"A"
"88",4,96,0,"A"
"89",4,45,0,"A"
"90",4.5,515,0,"A"
"91",4,49,0,"A"
"92",4,264,0,"A"
"93",3,67,0,"A"
"94",4.5,28,0,"A"
"95",4,6,0,"A"
"96",4.5,474,0,"A"
"97",2.5,6,0,"A"
"98",4,144,0,"O"
"99",4.5,225,3,"A"
"100",3.5,561,5,"O"
"101",2.5,16,0,"A"
"102",4,214,0,"A"
"103",4.5,709,2,"O"
"104",3.5,446,0,"O"
"105",3.5,63,0,"A"
"106",3.5,387,0,"A"
"107",3.5,24,0,"A"
"108",3.5,9,0,"A"
"109",3.5,204,0,"A"
"110",3,164,0,"O"
"111",3.5,116,0,"O"
"112",3.5,109,0,"A"
"113",3,50,0,"A"
"114",4,251,0,"A"
"115",3,53,0,"A"
"116",4,246,0,"A"
"117",3.5,45,0,"A"
"118",4,48,0,"A"
"119",3.5,45,0,"A"
"120",3,78,0,"A"
"121",4,575,0,"A"
"122",3.5,44,2,"A"
"123",3.5,46,0,"A"
"124",4,402,0,"A"
"125",3.5,22,0,"A"
"126",4,198,0,"A"
"127",4,583,2,"A"
"128",4,47,0,"O"
"129",3.5,119,0,"O"
"130",4,227,0,"A"
"131",3.5,162,0,"A"
"132",4,219,0,"A"
"133",4.5,130,0,"A"
"134",3.5,95,0,"A"
"135",3.5,143,0,"A"
"136",3.5,36,0,"A"
"137",4,190,0,"A"
"138",4,69,2,"A"
"139",4,629,0,"A"
"140",3,117,0,"A"
"141",4,360,2,"A"
"142",3.5,51,0,"A"
"143",3.5,131,2,"A"
"144",4,84,0,"A"
"145",3.5,63,0,"A"
"146",3.5,133,0,"O"
"147",3.5,117,0,"A"
"148",3.5,588,0,"A"
"149",3.5,291,0,"O"
"150",4,204,0,"A"
"151",3,67,0,"O"
"152",3.5,90,0,"A"
"153",3.5,69,0,"A"
"154",3,148,0,"A"
"155",3.5,11,0,"O"
"156",3.5,65,0,"A"
"157",3.5,19,0,"A"
"158",4,124,2,"A"
"159",3,73,0,"A"
"160",4.5,21,0,"A"
"161",3.5,70,0,"A"
"162",4,106,1,"A"
"163",3.5,58,0,"A"
"164",4.5,87,0,"A"
"165",2.5,15,0,"A"
"166",4,331,0,"O"
"167",3.5,191,0,"O"
"168",4,4,3,"A"
"169",5,41,0,"A"
"170",4,457,0,"A"
"171",4,765,0,"A"
"172",4,143,0,"A"
"173",4,304,0,"A"
"174",4,60,0,"A"
"175",3.5,91,0,"A"
"176",3.5,129,0,"A"
"177",3.5,54,0,"A"
"178",4.5,167,0,"O"
